time(ms),acc.x,acc.y,acc.z,acclinear.x,acclinear.y,acclinear.z,gravity.x,gravity.y,gravity.z,gyroscope.x,gyroscope.y,gyroscope.z,RV.x,RV.y,RV.z,RV.cos,RV.heading
2161,0.08895,1.131,9.92205,-0.211,0.069,0.17,0.292,1.061,9.744,-0.01155,-0.00605,-0.0144375,0.05541,-0.00948,0.099537,0.993444,0
2201,0.42600003,1.107,9.89805,0.129,0.041,0.143,0.292,1.062,9.744,0.0055,-6.88E-04,0.007975,0.055461,-0.00947,0.099696,0.993425,0
2241,0.096,1.1380501,9.69495,-0.19,0.064,-0.06,0.284,1.065,9.744,-0.0158125,0.0504625,-0.045375,0.0556,-0.009062,0.099177,0.993473,0
2282,0.10095,1.04205,9.762,-0.156,-0.017,0.005,0.251,1.052,9.746,-0.0510125,0.0430375,0.021724999,0.054668,-0.007226,0.098972,0.993561,0
2321,0.48795003,0.97305006,9.946051,0.222,-0.069,0.194,0.254,1.037,9.748,0.0405625,0.0089375,-0.00275,0.05401,-0.007652,0.099463,0.993544,0
2361,0.069000006,1.107,9.501,-0.176,0.049,-0.253,0.244,1.054,9.746,-0.006325,0.0185625,-0.0059125,0.054794,-0.007073,0.099071,0.993545,0
2401,0.22305001,0.99705005,9.979951,-0.01,-0.043,0.221,0.228,1.037,9.748,-0.0191125,0.02805,0.0378125,0.053888,-0.006319,0.099534,0.993553,0
2442,0.27795002,1.095,9.58005,0.049,0.05,-0.173,0.237,1.038,9.748,-0.0105875,-0.0240625,0.0026125,0.053974,-0.006745,0.099937,0.993505,0
2481,0.141,1.06605,9.793051,-0.089,0.04,0.042,0.223,1.02,9.75,-0.0776875,0.06435,0.032449998,0.052998,-0.00615,0.100162,0.993539,0
2521,0.462,0.99705005,10.06305,0.239,-0.005,0.312,0.223,0.999,9.752,0.0086625,-6.88E-04,0.0122375,0.051936,-0.006206,0.100889,0.993521,0
