x,y,z,'20:76:93:4d:04:8a','bc:d1:77:1b:9b:ce','34:ce:00:42:20:73','50:fa:84:60:4d:36','dc:fe:18:c7:43:09','32:24:a9:f5:1f:81','bc:d1:77:1b:9b:d6','cc:08:fb:ad:22:7c','28:e4:24:30:f3:48','98:20:44:8c:68:e8','bc:d1:77:1b:b2:84','c4:a8:1d:89:6d:40','14:75:90:d1:84:32','8c:a6:df:ab:a7:b5','b4:0f:3b:89:53:e1','28:e4:24:2e:61:69','28:e4:24:2f:d0:e8','28:e4:24:30:ed:a9','38:d5:7a:5e:21:f4','48:0e:ec:5a:e4:4a','60:3a:7c:ee:eb:91','bc:d1:77:1b:9b:dc','28:e4:24:30:ed:a8','28:e4:24:30:f3:49','70:af:6a:4b:97:ab','98:20:44:1e:53:e8','00:0c:43:26:60:10','28:e4:24:30:db:29','98:20:44:1e:53:e9','d4:35:38:28:dd:0f','5c:02:14:6b:7a:4e','94:e9:ee:6f:cb:28','98:20:44:8c:68:e9','bc:d1:77:1b:9b:bc'
0,-10,-3,-66.21666667,-77.63333333,-74.25,-100,-75.16666667,-72.2,-100,-100,-83,-100,-100,-70.37837838,-83,-100,-100,-100,-100,-70.21666667,-83,-100,-100,-77.75675676,-71.95,-100,-69,-100,-79.66666667,-79.36956522,-100,-75.78333333,-100,-100,-100,-79.68518519
0,-11,-3,-73.45,-73.53333333,-72.69565217,-100,-75.61666667,-73.23333333,-78,-100,-83,-100,-100,-71.82978723,-79,-100,-100,-100,-100,-75,-84,-100,-100,-77,-75.4,-100,-68.58974359,-80,-79,-100,-100,-77.81818182,-84,-100,-78.06666667,-79.65
0,-12,-3,-71.22727273,-76.93333333,-68.48333333,-100,-65.91666667,-76.76666667,-79,-100,-80,-100,-100,-69.73333333,-77,-100,-100,-100,-100,-74,-80.11666667,-100,-79,-72.45,-73.3,-100,-76,-100,-80.72727273,-100,-100,-74.71666667,-100,-100,-77,-70.9
1,-12,-3,-73.18333333,-71.43137255,-66.48333333,-100,-64.88333333,-73.35087719,-80,-100,-79,-100,-100,-70.23333333,-80,-100,-100,-100,-100,-74.54,-100,-100,-100,-77,-77.48333333,-100,-77,-100,-100,-78.70588235,-100,-76.52941176,-100,-100,-76,-81
1.5,-12,-2.75,-73.2,-80,-69.33333333,-100,-75.01666667,-75.06666667,-78.3,-100,-78,-100,-100,-72.45,-83,-100,-100,-100,-100,-73.92857143,-82,-100,-75,-81,-74.61666667,-100,-72.30232558,-100,-78.27659574,-78.4,-100,-77.7173913,-100,-100,-79,-79
2,-12,-2.5,-76.33333333,-78.85,-67.21666667,-100,-67.45,-74.81666667,-84.95,-100,-81.06666667,-100,-100,-64.98333333,-83,-100,-100,-100,-100,-73.06779661,-82.14893617,-100,-100,-88.35849057,-74.11666667,-100,-100,-84.05555556,-87.35,-80.13333333,-83,-78.91666667,-81.58536585,-80,-75.1,-86.33333333
2.5,-12,-2.25,-72.7,-74.8,-64,-100,-72.84,-77.8,-85,-100,-100,-100,-100,-77.48,-78,-100,-100,-100,-100,-75,-82.96363636,-100,-100,-86,-74.8,-100,-100,-73,-79,-78.4,-74,-77.3,-100,-100,-79,-77.46666667
3,-12,-2,-76.66666667,-79.25,-67.4,-100,-70.06666667,-74.58333333,-83.93333333,-100,-78.96666667,-100,-100,-68.16666667,-77.15,-100,-100,-100,-100,-74.96666667,-82.78333333,-100,-80,-86.48333333,-73.03333333,-100,-100,-80,-80.41666667,-78.66666667,-80,-79.78333333,-81,-100,-76.46666667,-86.55
3.5,-12,-1.75,-80.03333333,-79.61403509,-63.88333333,-100,-67.05,-73.91666667,-79.96666667,-100,-72.88333333,-100,-100,-62.61666667,-79.48,-100,-100,-100,-100,-71.83333333,-80.23333333,-100,-82,-89.14285714,-71.8,-100,-79,-79,-86.15254237,-77.48333333,-78,-79.25,-82,-81,-82.44680851,-81.24561404
4,-12,-1.5,-75.6,-77.56521739,-66.06666667,-100,-68.76666667,-72.93333333,-78.69090909,-100,-76.7,-100,-100,-68.48333333,-79,-100,-100,-100,-100,-72.83333333,-83.88333333,-100,-77,-80,-72.53333333,-100,-79,-100,-83.90566038,-75.88333333,-82.63636364,-78.33333333,-85.52542373,-100,-76.25,-81.93333333
4.5,-12,-1.25,-80.51666667,-78.38333333,-62.51666667,-100,-67.66666667,-73.31666667,-79,-100,-76.28333333,-100,-100,-66.73333333,-79.11666667,-100,-100,-100,-100,-72.85,-81,-100,-75,-79,-73.01666667,-100,-77.98333333,-100,-79.98333333,-74.98333333,-100,-78.12765957,-84.34693878,-100,-76.86363636,-80.78333333
5,-12,-1,-75.88333333,-100,-61.3,-100,-65.8,-71.6,-100,-100,-75,-100,-100,-63.21621622,-100,-100,-100,-100,-100,-68.08333333,-86,-100,-100,-100,-68.86666667,-100,-100,-100,-69.91666667,-75.36666667,-100,-78.38333333,-100,-100,-79,-100
5.5,-12,-0.75,-72.35,-77.61666667,-58,-100,-61.66666667,-75.93333333,-100,-100,-71.4,-100,-100,-69,-100,-100,-100,-100,-100,-68.18604651,-100,-100,-100,-77,-71.96666667,-100,-100,-100,-81,-72.71666667,-100,-100,-81,-100,-100,-78
6,-12,-0.5,-79.26666667,-78.36666667,-59.94736842,-100,-67.63333333,-72.8,-78.10204082,-100,-71.45833333,-100,-100,-66.63265306,-77.15,-100,-100,-100,-100,-68,-100,-100,-100,-100,-66.16666667,-100,-76,-100,-75.18333333,-73.78333333,-100,-100,-100,-100,-100,-78
6.5,-12,-0.25,-77.43333333,-100,-65,-100,-67.68181818,-71.93333333,-100,-100,-72,-100,-100,-69,-100,-100,-100,-100,-100,-63.5,-100,-100,-100,-79.35,-64.26666667,-100,-100,-100,-74.48333333,-71.58333333,-100,-100,-100,-100,-100,-78
7,-12,0,-74.51666667,-80.67857143,-63.35,-100,-57.96666667,-76.01666667,-79,-100,-71.06976744,-100,-100,-74.77777778,-79.06976744,-100,-100,-100,-100,-59.43333333,-100,-100,-77,-80,-58.48333333,-100,-77,-100,-79.46666667,-72.46666667,-100,-78,-80,-100,-77,-100
8,-12,0,-74.96491228,-100,-57.73333333,-100,-62.53333333,-73.58333333,-100,-100,-70,-100,-100,-100,-100,-100,-100,-100,-100,-65.60465116,-100,-100,-100,-100,-65.39534884,-100,-74,-100,-81.2,-70.10869565,-100,-100,-100,-100,-100,-100
8,-11,0,-71.9,-100,-66,-100,-64.43333333,-71.55,-100,-100,-100,-100,-100,-72.16666667,-100,-100,-100,-100,-100,-66.16666667,-100,-100,-100,-100,-70.3902439,-100,-71.56097561,-100,-78.91666667,-71.31666667,-100,-79,-100,-100,-73,-79
8,-10,0,-77,-100,-55,-100,-63.2,-76.45,-100,-100,-73,-100,-100,-76.86666667,-100,-100,-100,-100,-100,-72.04651163,-100,-100,-100,-100,-73.12903226,-100,-68,-100,-77.45,-64.86666667,-100,-100,-100,-100,-76,-79
8,-9,0,-82,-79.18181818,-64.48333333,-100,-58.66666667,-74.88888889,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-75,-100,-100,-100,-73.13333333,-66.71666667,-100,-100,-100,-100,-100,-100
8,-8,0,-75.72727273,-80,-60.9,-100,-62.41666667,-78.03333333,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-78,-100,-100,-100,-72.16666667,-56.73333333,-100,-100,-100,-100,-100,-100
8,-7,0,-80.40909091,-100,-56.68333333,-100,-62.93333333,-77.59090909,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-76.18604651,-100,-100,-72,-100,-75.13953488,-100,-100,-100,-73.03333333,-64.58333333,-100,-100,-77.48333333,-100,-100,-100
8,-6,0,-82.46666667,-100,-59.36363636,-100,-63,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76.1627907,-100,-100,-72,-100,-71.75,-100,-100,-100,-70.63333333,-66.98333333,-100,-100,-100,-100,-100,-100
8,-5,0,-81,-100,-59.1,-100,-53.81666667,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-100,-100,-69,-100,-73.28333333,-61.45,-100,-100,-100,-100,-100,-100
8,-4,0,-81.1372549,-100,-53.58823529,-100,-54.73333333,-78,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73.41860465,-100,-79,-100,-73,-100,-75.73333333,-63.66666667,-100,-100,-100,-100,-100,-100
8,-3,0,-79.96666667,-100,-53.4,-100,-61.05,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77.2244898,-100,-100,-64,-100,-75,-100,-100,-100,-75.23333333,-61.11666667,-100,-100,-100,-100,-100,-100
8,-2,0,-81.68181818,-77,-59.40540541,-100,-53.4,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-77.05405405,-100,-100,-64,-100,-70,-100,-100,-100,-75.65,-60.81666667,-100,-100,-85,-100,-100,-100
8,-1,0,-78.56666667,-100,-62.09302326,-100,-60.51666667,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-70,-100,-100,-100,-69.75,-55.08333333,-100,-100,-100,-100,-100,-100
8,0,0,-78.01666667,-72.50877193,-66.56666667,-100,-57.85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-74.19607843,-100,-100,-100,-100,-100,-73.4,-51.45652174,-100,-100,-100,-100,-100,-100
7,0,0,-77.13043478,-78,-59,-100,-65.25,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78.33333333,-100,-100,-77,-100,-74.54545455,-100,-70,-100,-75.33333333,-53.53333333,-100,-100,-100,-100,-100,-100
6,0,0,-77.17073171,-73,-69.13953488,-100,-60.68292683,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-71.56410256,-100,-74,-100,-73.88333333,-55.11666667,-100,-77.51666667,-100,-100,-100,-100
